Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R17,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.22,-55.372,270,top
R18,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.87,-74.549,270,top
R19,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.457,-73.533,270,top
R29,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-104.14,180,top
R30,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-101.6,180,top
R31,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-127,180,top
R32,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-116.84,180,top
R33,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-132.08,180,top
R34,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-129.54,180,top
R35,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-124.46,180,top
R36,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-121.92,180,top
R37,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-106.68,180,top
R38,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-119.38,180,top
R39,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-111.76,180,top
R40,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-109.22,180,top
R41,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.02,-114.3,180,top
SW1,SW_SPST,SW_Push_1P1T_NO_CK_KMR2,93.726,-68.58,0,top
SW2,SW_SPST,SW_Push_1P1T_NO_CK_KMR2,93.726,-59.944,0,top
SW3,SW_SPST,SW_Push_1P1T_NO_CK_KMR2,93.726,-64.262,0,top
SW5,SW_SPST,SW_Push_1P1T_NO_CK_KMR2,92.583,-111.633,270,top
U1,STPMIC1,WQFN-44L_EP_5x6_Pitch0.4mm,123.698,-63.246,0,top
U2,PF3000,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm_ThermalVias,122.682,-115.57,0,top
